Name_Console,Name,Platform,Publisher,Genre,Release_Year,Release_Month,First_Week,Total_Sales,Critic_Score,User_Score
The Lord of the Rings: War in the North (X360),The Lord of the Rings: War in the North,X360,Warner Bros. Interactive Entertainment,Action,2011,11,113551.0,113551.0,6.6,N/A
The Orange Box (X360),The Orange Box,X360,Electronic Arts,Shooter,2007,10,186641.0,350100.0,9.7,N/A
The Order 1866 (PS4),The Order 1866,PS4,Sony Computer Entertainment,Shooter,2015,2,595541.0,851130.0,,
The Outfit (X360),The Outfit,X360,THQ,Action,2006,3,48676.0,60136.0,7.0,N/A
The Rub Rabbits! (DS),The Rub Rabbits!,DS,Sega,Puzzle,2005,10,11090.0,11090.0,7.3,N/A
The Simpsons Game (X360),The Simpsons Game,X360,Electronic Arts,Platform,2007,11,54366.0,54366.0,6.9,N/A
The Sims 2 (DS),The Sims 2,DS,Electronic Arts,Simulation,2005,10,5866.0,22326.0,4.8,N/A
The Sims 2: Pets (DS),The Sims 2: Pets,DS,Electronic Arts,Simulation,2006,10,24238.0,341777.0,4.8,N/A
The Sims 3 (PC),The Sims 3,PC,Electronic Arts,Simulation,2009,6,327410.0,723518.0,8.5,N/A
The Sims 3 (X360),The Sims 3,X360,Electronic Arts,Simulation,2010,10,65804.0,65804.0,8.0,N/A
The Sims 3: Ambitions (PC),The Sims 3: Ambitions,PC,Electronic Arts,Simulation,2010,6,63363.0,135701.0,7.9,N/A
The Sims 3: Generations (PC),The Sims 3: Generations,PC,Electronic Arts,Simulation,2011,6,28360.0,28360.0,6.5,N/A
The Sims 3: Late Night Expansion Pack (PC),The Sims 3: Late Night Expansion Pack,PC,Electronic Arts,Simulation,2010,10,114994.0,114994.0,7.5,N/A
The Sims 4 (PC),The Sims 4,PC,Electronic Arts,Action,2014,9,469400.0,836241.0,7.0,N/A
The Sims 4 (PS4),The Sims 4,PS4,Electronic Arts,Simulation,2017,11,164098.0,624518.0,N/A,N/A
The Sims 4 (XOne),The Sims 4,XOne,Electronic Arts,Simulation,2017,11,76515.0,76515.0,N/A,N/A
The Sims: Medieval (PC),The Sims: Medieval,PC,Electronic Arts,Simulation,2011,3,85600.0,85600.0,7.2,N/A
The Snack World: TreJarers (3DS),The Snack World: TreJarers,3DS,Level 5,Role-Playing,2017,8,90328.0,137890.0,N/A,N/A
The Snack World: Trejarers Gold (NS),The Snack World: Trejarers Gold,NS,Level 5,Role-Playing,2018,4,36550.0,36550.0,N/A,N/A
